number,president,term_start,term_end,party,vice_president
1,George Washington,1789-04-30,1797-03-04,Independent,John Adams
2,John Adams,1797-03-04,1801-03-04,Federalist,Thomas Jefferson
3,Thomas Jefferson,1801-03-04,1809-03-04,Democratic-Republican,"Aaron Burr; George Clinton"
4,James Madison,1809-03-04,1817-03-04,Democratic-Republican,"George Clinton; Elbridge Gerry"
5,James Monroe,1817-03-04,1825-03-04,Democratic-Republican,Daniel D. Tompkins
6,John Quincy Adams,1825-03-04,1829-03-04,Democratic-Republican,John C. Calhoun
7,Andrew Jackson,1829-03-04,1837-03-04,Democratic,"John C. Calhoun; Martin Van Buren"
8,Martin Van Buren,1837-03-04,1841-03-04,Democratic,Richard Mentor Johnson
9,William Henry Harrison,1841-03-04,1841-04-04,Whig,John Tyler
10,John Tyler,1841-04-04,1845-03-04,Whig (expelled),None
11,James K. Polk,1845-03-04,1849-03-04,Democratic,George M. Dallas
12,Zachary Taylor,1849-03-04,1850-07-09,Whig,Millard Fillmore
13,Millard Fillmore,1850-07-09,1853-03-04,Whig,Vacant
14,Franklin Pierce,1853-03-04,1857-03-04,Democratic,William R. King
15,James Buchanan,1857-03-04,1861-03-04,Democratic,John C. Breckinridge
16,Abraham Lincoln,1861-03-04,1865-04-15,Republican,"Hannibal Hamlin; Andrew Johnson"
17,Andrew Johnson,1865-04-15,1869-03-04,National Union (Democratic),None
18,Ulysses S. Grant,1869-03-04,1877-03-04,Republican,"Schuyler Colfax; Henry Wilson"
19,Rutherford B. Hayes,1877-03-04,1881-03-04,Republican,William A. Wheeler
20,James A. Garfield,1881-03-04,1881-09-19,Republican,Chester A. Arthur
21,Chester A. Arthur,1881-09-19,1885-03-04,Republican,Vacant
22,Grover Cleveland,1885-03-04,1889-03-04,Democratic,Thomas A. Hendricks
23,Benjamin Harrison,1889-03-04,1893-03-04,Republican,Levi P. Morton
24,Grover Cleveland,1893-03-04,1897-03-04,Democratic,Adlai Stevenson I
25,William McKinley,1897-03-04,1901-09-14,Republican,"Garret Hobart; Theodore Roosevelt"
26,Theodore Roosevelt,1901-09-14,1909-03-04,Republican,Charles W. Fairbanks
27,William Howard Taft,1909-03-04,1913-03-04,Republican,James S. Sherman
28,Woodrow Wilson,1913-03-04,1921-03-04,Democratic,"Thomas R. Marshall"
29,Warren G. Harding,1921-03-04,1923-08-02,Republican,Calvin Coolidge
30,Calvin Coolidge,1923-08-02,1929-03-04,Republican,Charles G. Dawes
31,Herbert Hoover,1929-03-04,1933-03-04,Republican,Charles Curtis
32,Franklin D. Roosevelt,1933-03-04,1945-04-12,Democratic,"John N. Garner; Henry A. Wallace; Harry S. Truman"
33,Harry S. Truman,1945-04-12,1953-01-20,Democratic,Alben W. Barkley
34,Dwight D. Eisenhower,1953-01-20,1961-01-20,Republican,Richard Nixon
35,John F. Kennedy,1961-01-20,1963-11-22,Democratic,Lyndon B. Johnson
36,Lyndon B. Johnson,1963-11-22,1969-01-20,Democratic,Hubert Humphrey
37,Richard Nixon,1969-01-20,1974-08-09,Republican,"Spiro Agnew; Gerald Ford"
38,Gerald Ford,1974-08-09,1977-01-20,Republican,Nelson Rockefeller
39,Jimmy Carter,1977-01-20,1981-01-20,Democratic,Walter Mondale
40,Ronald Reagan,1981-01-20,1989-01-20,Republican,George H. W. Bush
41,George H. W. Bush,1989-01-20,1993-01-20,Republican,Dan Quayle
42,Bill Clinton,1993-01-20,2001-01-20,Democratic,Al Gore
43,George W. Bush,2001-01-20,2009-01-20,Republican,Dick Cheney
44,Barack Obama,2009-01-20,2017-01-20,Democratic,Joe Biden
45,Donald Trump,2017-01-20,2021-01-20,Republican,Mike Pence
46,Joe Biden,2021-01-20,,Democratic,Kamala Harris
