OrderID,Date,Region,Product,Customer Segment,Sales Channel,Price,Units Sold,Revenue
3001,2024-01-05,North,Laptop,Enterprise,Online,1250.0,8,10000.0
3002,2024-01-06,South,Keyboard,SMB,Retail,75.0,20,1500.0
3003,2024-01-07,West,Monitor,Consumer,Retail,320.0,12,3840.0
3004,2024-01-08,East,Smartphone,Enterprise,Partner,850.0,10,8500.0
3005,2024-01-09,Central,Tablet,Consumer,Online,690.0,14,9660.0
3006,2024-02-02,North,Laptop,Enterprise,Partner,1280.0,9,11520.0
3007,2024-02-05,South,Monitor,SMB,Retail,330.0,11,3630.0
3008,2024-02-12,International,Headset,Consumer,Online,88.0,25,2200.0
3009,2024-02-15,West,Gaming Console,Consumer,Marketplace,460.0,18,8280.0
3010,2024-02-20,East,Laptop,Enterprise,Online,1300.0,7,9100.0
3011,2024-03-01,North,Tablet,Enterprise,Online,720.0,13,9360.0
3012,2024-03-05,South,Smartphone,Consumer,Retail,820.0,16,13120.0
3013,2024-03-08,West,Keyboard,SMB,Partner,78.0,24,1872.0
3014,2024-03-12,Northeast,Monitor,SMB,Online,340.0,10,3400.0
3015,2024-03-18,Central,Docking Station,Enterprise,Partner,195.0,18,3510.0
3016,2024-04-04,North,Laptop,Enterprise,Online,1250.0,11,13750.0
3017,2024-04-08,South,Tablet,Consumer,Marketplace,700.0,17,11900.0
3018,2024-04-11,West,Headset,SMB,Retail,92.0,22,2024.0
3019,2024-04-17,East,Smartphone,Enterprise,Online,840.0,15,12600.0
3020,2024-04-22,International,Gaming Console,Consumer,Marketplace,470.0,20,9400.0
3021,2024-05-03,North,Laptop,Enterprise,Partner,1320.0,12,15840.0
3022,2024-05-07,South,Monitor,SMB,Retail,345.0,14,4830.0
3023,2024-05-10,Central,Printer,Enterprise,Partner,420.0,9,3780.0
3024,2024-05-15,International,Laptop,Consumer,Online,1280.0,15,19200.0
3025,2024-05-21,West,Smartphone,Consumer,Marketplace,860.0,13,11180.0
3026,2024-06-04,North,Keyboard,SMB,Retail,80.0,28,2240.0
3027,2024-06-08,South,Tablet,Consumer,Online,710.0,19,13490.0
3028,2024-06-12,East,Laptop,Enterprise,Online,1350.0,10,13500.0
3029,2024-06-18,Central,Docking Station,SMB,Partner,200.0,21,4200.0
3030,2024-06-25,International,Headset,Consumer,Retail,95.0,26,2470.0
3031,2024-07-03,West,Monitor,Enterprise,Partner,350.0,15,5250.0
3032,2024-07-09,South,Smartphone,Consumer,Retail,880.0,18,15840.0
3033,2024-07-14,North,Laptop,Enterprise,Online,1285.0,14,17990.0
3034,2024-07-18,East,Smartwatch,Consumer,Marketplace,260.0,30,7800.0
3035,2024-07-24,Central,Tablet,SMB,Online,705.0,16,11280.0
3036,2024-08-02,International,Gaming Console,Consumer,Marketplace,480.0,22,10560.0
3037,2024-08-07,South,Laptop,Enterprise,Online,1340.0,13,17420.0
3038,2024-08-13,West,Headset,SMB,Retail,90.0,24,2160.0
3039,2024-08-19,Northeast,Monitor,Enterprise,Partner,355.0,18,6390.0
3040,2024-08-26,North,Smartphone,Consumer,Retail,870.0,20,17400.0
3041,2024-09-04,Central,Laptop,Enterprise,Partner,1290.0,11,14190.0
3042,2024-09-10,South,Tablet,Consumer,Marketplace,715.0,21,15015.0
3043,2024-09-16,West,Keyboard,SMB,Retail,82.0,26,2132.0
3044,2024-09-20,East,Laptop,Enterprise,Online,1360.0,12,16320.0
3045,2024-09-27,International,Smartphone,Consumer,Online,890.0,17,15130.0
